file,single,double,triple,aromatic,other,ring_bonds,total_bonds,sanitize_fail,num_atoms
lig_00000.sdf,43,0,0,0,0,36,43,0,31
lig_00001.sdf,50,0,0,0,0,48,50,0,31
lig_00002.sdf,37,0,0,0,0,32,37,0,27
lig_00003.sdf,32,0,0,0,0,30,32,0,22
lig_00004.sdf,23,0,0,0,0,20,23,0,19
lig_00005.sdf,50,0,0,0,0,48,50,0,33
lig_00006.sdf,45,0,0,0,0,43,45,0,28
lig_00007.sdf,48,0,0,0,0,46,48,0,37
lig_00008.sdf,13,0,0,0,0,10,13,0,10
lig_00009.sdf,28,0,0,0,0,22,28,0,27
lig_00010.sdf,44,0,0,0,0,37,44,0,35
lig_00011.sdf,41,0,0,0,0,38,41,0,31
lig_00012.sdf,31,0,0,0,0,27,31,0,21
lig_00013.sdf,17,0,0,0,0,17,17,0,15
lig_00014.sdf,14,0,0,0,0,12,14,0,11
lig_00015.sdf,7,0,0,0,0,3,7,0,11
lig_00016.sdf,39,0,0,0,0,35,39,0,27
lig_00017.sdf,29,0,0,0,0,22,29,0,23
lig_00018.sdf,29,0,0,0,0,20,29,0,25
lig_00019.sdf,41,0,0,0,0,35,41,0,29
lig_00020.sdf,27,0,0,0,0,23,27,0,21
lig_00021.sdf,31,0,0,0,0,26,31,0,23
lig_00022.sdf,62,0,0,0,0,61,62,0,37
lig_00023.sdf,18,0,0,0,0,12,18,0,16
lig_00024.sdf,46,0,0,0,0,42,46,0,29
lig_00025.sdf,28,0,0,0,0,25,28,0,20
lig_00026.sdf,37,0,0,0,0,31,37,0,31
lig_00027.sdf,14,0,0,0,0,8,14,0,13
lig_00028.sdf,22,0,0,0,0,18,22,0,16
lig_00029.sdf,21,0,0,0,0,19,21,0,20
lig_00030.sdf,26,0,0,0,0,22,26,0,20
lig_00031.sdf,28,0,0,0,0,25,28,0,18
lig_00032.sdf,21,0,0,0,0,11,21,0,18
lig_00033.sdf,21,0,0,0,0,18,21,0,15
lig_00034.sdf,17,0,0,0,0,14,17,0,12
lig_00035.sdf,16,0,0,0,0,9,16,0,14
lig_00036.sdf,54,0,0,0,0,51,54,0,37
lig_00037.sdf,44,0,0,0,0,34,44,0,31
lig_00038.sdf,26,0,0,0,0,24,26,0,18
lig_00039.sdf,21,0,0,0,0,20,21,0,15
lig_00040.sdf,17,0,0,0,0,14,17,0,13
lig_00041.sdf,31,0,0,0,0,27,31,0,23
lig_00042.sdf,21,0,0,0,0,18,21,0,17
lig_00043.sdf,5,0,0,0,0,0,5,0,11
lig_00044.sdf,35,0,0,0,0,30,35,0,27
lig_00045.sdf,19,0,0,0,0,15,19,0,17
lig_00046.sdf,36,0,0,0,0,26,36,0,28
lig_00047.sdf,29,0,0,0,0,25,29,0,21
lig_00048.sdf,90,0,0,0,0,90,90,0,57
lig_00049.sdf,46,0,0,0,0,41,46,0,32
lig_00050.sdf,19,0,0,0,0,15,19,0,15
lig_00051.sdf,36,0,0,0,0,27,36,0,32
lig_00052.sdf,31,0,0,0,0,24,31,0,25
lig_00053.sdf,40,0,0,0,0,38,40,0,26
lig_00054.sdf,34,0,0,0,0,27,34,0,26
lig_00055.sdf,7,0,0,0,0,5,7,0,6
lig_00056.sdf,5,0,0,0,0,3,5,0,6
lig_00057.sdf,42,0,0,0,0,42,42,0,26
lig_00058.sdf,22,0,0,0,0,18,22,0,17
lig_00059.sdf,35,0,0,0,0,30,35,0,26
lig_00060.sdf,39,0,0,0,0,33,39,0,29
lig_00061.sdf,21,0,0,0,0,19,21,0,17
lig_00062.sdf,11,0,0,0,0,3,11,0,13
lig_00063.sdf,45,0,0,0,0,33,45,0,35
lig_00064.sdf,12,0,0,0,0,12,12,0,12
lig_00065.sdf,8,0,0,0,0,7,8,0,8
lig_00066.sdf,5,0,0,0,0,3,5,0,8
lig_00067.sdf,26,0,0,0,0,19,26,0,22
lig_00068.sdf,34,0,0,0,0,29,34,0,25
lig_00069.sdf,11,0,0,0,0,8,11,0,11
lig_00070.sdf,47,0,0,0,0,42,47,0,31
lig_00071.sdf,26,0,0,0,0,26,26,0,16
lig_00072.sdf,64,0,0,0,0,60,64,0,42
lig_00073.sdf,48,0,0,0,0,46,48,0,33
lig_00074.sdf,36,0,0,0,0,34,36,0,23
lig_00075.sdf,27,0,0,0,0,25,27,0,19
lig_00076.sdf,49,0,0,0,0,45,49,0,33
lig_00077.sdf,8,0,0,0,0,3,8,0,9
lig_00078.sdf,34,0,0,0,0,31,34,0,26
lig_00079.sdf,31,0,0,0,0,27,31,0,21
lig_00080.sdf,67,0,0,0,0,65,67,0,42
lig_00081.sdf,57,0,0,0,0,51,57,0,45
lig_00082.sdf,34,0,0,0,0,33,34,0,27
lig_00083.sdf,65,0,0,0,0,63,65,0,38
lig_00084.sdf,30,0,0,0,0,28,30,0,25
lig_00085.sdf,37,0,0,0,0,33,37,0,27
lig_00086.sdf,23,0,0,0,0,14,23,0,20
lig_00087.sdf,19,0,0,0,0,17,19,0,16
lig_00088.sdf,28,0,0,0,0,26,28,0,21
lig_00089.sdf,8,0,0,0,0,5,8,0,9
lig_00090.sdf,6,0,0,0,0,6,6,0,6
lig_00091.sdf,16,0,0,0,0,12,16,0,14
lig_00092.sdf,75,0,0,0,0,71,75,0,50
lig_00093.sdf,43,0,0,0,0,37,43,0,32
lig_00094.sdf,24,0,0,0,0,18,24,0,21
lig_00095.sdf,22,0,0,0,0,19,22,0,15
lig_00096.sdf,6,0,0,0,0,5,6,0,6
lig_00097.sdf,34,0,0,0,0,34,34,0,21
lig_00098.sdf,38,0,0,0,0,31,38,0,26
lig_00099.sdf,14,0,0,0,0,10,14,0,13
