smiles,index,qed,sa_score,logp,molecular_weight,num_atoms,num_rings,num_aromatic_rings,num_rotatable_bonds,tpsa,hbd,hba,lipinski_violations
[C].[C].[C].[C].[C].[C].[N].[O].[O].[O].[O],0,0.4391360276160629,0,-0.4680600000000001,150.069,11,0,0,0,144.5,0,0,0
[C].[C].[C].[C].[C].[C].[O].[O].[O].[O],1,0.44597769649596053,0,0.012539999999999898,136.06199999999998,10,0,0,0,114.0,0,0,0
O1OO1,2,0.39969988354842356,0,0.4656,47.997,3,1,1,0,39.42,0,3,0
[C].[C].[C].[C].[O].[O].[O].[O],3,0.4142247666467541,0,-0.15004,112.03999999999998,8,0,0,0,114.0,0,0,0
[O].[O].[O].[O],4,0.36178655979076835,0,-0.4752,63.996,4,0,0,0,114.0,0,0,0
[C].[C].[C].[O].[O].[O].[O].[O],5,0.40713255966007483,0,-0.35013,116.02799999999999,8,0,0,0,142.5,0,0,0
[C].[O].[O].[O].[O].[O],6,0.3786614025419516,0,-0.51271,92.006,6,0,0,0,142.5,0,0,0
[C].[C].[C].[O].[O].[O].[O],7,0.3996257909277611,0,-0.23132999999999998,100.029,7,0,0,0,114.0,0,0,0
[C].[O].[O],8,0.3626465495717954,0,-0.15631,44.009,3,0,0,0,57.0,0,0,0
[C].[O].[O].[O].[O],9,0.37336706237639716,0,-0.39391000000000004,76.007,5,0,0,0,114.0,0,0,0
[C].[C].[C].[O].[O].[O].[O].[O],10,0.40713255966007483,0,-0.35013,116.02799999999999,8,0,0,0,142.5,0,0,0
[C].[C].[C].[C].[O].[O].[O].[O].[O],11,0.4227001325960103,0,-0.26884,128.039,9,0,0,0,142.5,0,0,0
[C].[C].[O].[O].[O].[O].[O],12,0.3924260401769717,0,-0.43142,104.017,7,0,0,0,142.5,0,0,0
[C].[C].[C].[C].[C].[O].[O].[O].[O].[O],13,0.4390240730896542,0,-0.18755000000000005,140.04999999999998,10,0,0,0,142.5,0,0,0
OC1O[C@H]2O[C@@H]12,14,0.3884321428070782,0,-0.9401000000000002,88.062,6,2,0,0,41.99,1,3,0
[C].[O].[O],15,0.3626465495717954,0,-0.15631,44.009,3,0,0,0,57.0,0,0,0
[C].[O].[O].[O].[O].[O].[O].[O].[O],16,0.39864228404850066,0,-0.86911,140.003,9,0,0,0,228.0,0,0,0
[C].[C].[O].[O].[O].[O],17,0.3859891139462582,0,-0.31262,88.018,6,0,0,0,114.0,0,0,0
[C].[C].[C].[C].[C].[C].[O].[O].[O].[O].[O].[O].[O],18,0.47350664270988213,0,-0.3438600000000001,184.05899999999997,13,0,0,0,199.5,0,0,0
[C].[C].[C].[C].[O].[O].[O],19,0.405107544251951,0,-0.031240000000000018,96.04099999999998,7,0,0,0,85.5,0,0,0
[C].[O].[O].[O].[O].[O].[O].[O],20,0.3907138760008017,0,-0.75031,124.00399999999999,8,0,0,0,199.5,0,0,0
C1OC1C1OO1,21,0.32519169110538076,1,-0.32689999999999997,88.062,6,2,0,1,37.589999999999996,0,3,0
[C].[C].[C].[C].[C].[C].[C].[C].[C].[O].[O].[O].[O].[O].[O].[O].[O],22,0.5301522751827463,0,-0.2187900000000002,236.09099999999995,17,0,0,0,228.0,0,0,0
[C].[O].[O].[O].[O],23,0.37336706237639716,0,-0.39391000000000004,76.007,5,0,0,0,114.0,0,0,0
[C].[C].[C].[C].[C].[O].[O].[O].[O].[O],24,0.4390240730896542,0,-0.18755000000000005,140.04999999999998,10,0,0,0,142.5,0,0,0
[C].[C].[C].[O].[O].[O].[O],25,0.3996257909277611,0,-0.23132999999999998,100.029,7,0,0,0,114.0,0,0,0
[C].[C].[C].[O].[O].[O].[O],26,0.3996257909277611,0,-0.23132999999999998,100.029,7,0,0,0,114.0,0,0,0
[C].[O].[O],27,0.3626465495717954,0,-0.15631,44.009,3,0,0,0,57.0,0,0,0
[O].[O].[O].[O],28,0.36178655979076835,0,-0.4752,63.996,4,0,0,0,114.0,0,0,0
[C].[C].[C].[C].[O].[O].[O].[O].[O].[O].[O],29,0.4390570574534041,0,-0.50644,160.03699999999998,11,0,0,0,199.5,0,0,0
[C].[O].[O].[O].[O].[O],30,0.3786614025419516,0,-0.51271,92.006,6,0,0,0,142.5,0,0,0
[C].[C].[C].[C].[C].[O].[O].[O].[O].[O],31,0.4390240730896542,0,-0.18755000000000005,140.04999999999998,10,0,0,0,142.5,0,0,0
[C].[C].[C].[O].[O].[O].[O].[O],32,0.40713255966007483,0,-0.35013,116.02799999999999,8,0,0,0,142.5,0,0,0
COO,33,0.31061534304923694,0,0.10580000000000006,48.041000000000004,3,0,0,0,29.46,1,2,0
[C].[C].[O].[O].[O],34,0.3793394560368868,0,-0.19382,72.019,5,0,0,0,85.5,0,0,0
[C].[C].[C].[O].[O].[O].[O],35,0.3996257909277611,0,-0.23132999999999998,100.029,7,0,0,0,114.0,0,0,0
[C].[C].[C].[C].[C].[C].[C].[O].[O].[O].[O].[O].[O],36,0.4825154803468995,0,-0.14377000000000012,180.07099999999997,13,0,0,0,171.0,0,0,0
[C].[C].[C].[C].[C].[C].[O].[O].[O],37,0.43476383981801964,0,0.1313399999999999,120.06299999999997,9,0,0,0,85.5,0,0,0
[C].[C].[C].[C].[C].[C].[C].[C].[O],38,0.4370830065943492,0,0.5315199999999999,112.08699999999997,9,0,0,0,28.5,0,0,0
[C].[C].[C].[O].[O].[O].[O].[O],39,0.40713255966007483,0,-0.35013,116.02799999999999,8,0,0,0,142.5,0,0,0
[C].[C].[O].[O].[O].[O],40,0.3859891139462582,0,-0.31262,88.018,6,0,0,0,114.0,0,0,0
CC1OO1,41,0.2963778250653293,0,0.29419999999999996,60.052,4,1,0,0,25.06,0,2,0
[C].[C].[C].[O].[O].[O].[O].[O].[O],42,0.4145085744192139,0,-0.46893,132.027,9,0,0,0,171.0,0,0,0
[C].[O].[O].[O],43,0.36801366199437857,0,-0.27511,60.008,4,0,0,0,85.5,0,0,0
[C].[C].[C].[C].[C].[O].[O].[O],44,0.4194824823530789,0,0.05004999999999994,108.05199999999998,8,0,0,0,85.5,0,0,0
[C].[C].[C].[C].[O].[O].[O].[O].[O],45,0.4227001325960103,0,-0.26884,128.039,9,0,0,0,142.5,0,0,0
[C].[C].[O].[O].[O].[O].[O],46,0.3924260401769717,0,-0.43142,104.017,7,0,0,0,142.5,0,0,0
[C].[O].[O].[O].[O],47,0.37336706237639716,0,-0.39391000000000004,76.007,5,0,0,0,114.0,0,0,0
[C].[C].[C].[C].[C].[C].[C].[C].[C].[N].[O].[O].[O].[O],48,0.49176362786316635,0,-0.22419000000000017,186.10199999999998,14,0,0,0,144.5,0,0,0
[C].[C].[C].[C].[C].[C].[C].[O].[O],49,0.43763477328060607,0,0.3314299999999999,116.07499999999997,9,0,0,0,57.0,0,0,0
[C].[C].[C].[C].[C].[O].[O].[O].[O].[O],50,0.4390240730896542,0,-0.18755000000000005,140.04999999999998,10,0,0,0,142.5,0,0,0
[C].[O].[O].[O].[O],51,0.37336706237639716,0,-0.39391000000000004,76.007,5,0,0,0,114.0,0,0,0
[C].[C].[O].[O].[O].[O].[O].[O].[O].[O],52,0.4146507606309398,0,-0.7878200000000001,152.01399999999998,10,0,0,0,228.0,0,0,0
[C].[C].[C].[C].[C].[C].[C].[O].[O].[O].[O].[O].[O].[O],53,0.4908220272301248,0,-0.26257000000000014,196.06999999999996,14,0,0,0,199.5,0,0,0
[C].[C].[C].[O].[O].[O].[O].[O],54,0.40713255966007483,0,-0.35013,116.02799999999999,8,0,0,0,142.5,0,0,0
C1OOO1,55,0.36468865224446007,0,-0.1627,62.024,4,1,0,0,27.69,0,3,0
CO[C@@H](C)O,56,0.44431216655494793,1,-0.02889999999999998,76.095,5,0,0,1,29.46,1,2,0
[C].[C].[C].[C].[C].[C].[C].[O].[O].[O].[O],57,0.46290500452515865,0,0.09382999999999987,148.07299999999998,11,0,0,0,114.0,0,0,0
[C].[C].[C].[C].[C].[C].[C].[O].[O].[O].[O],58,0.46290500452515865,0,0.09382999999999987,148.07299999999998,11,0,0,0,114.0,0,0,0
CC1OOO1,59,0.3862723938856752,0,0.22579999999999995,76.051,5,1,0,0,27.69,0,3,0
C1OOC12COO2,60,0.391905649878543,0,-0.39370000000000005,104.06099999999999,7,2,0,0,36.92,0,4,0
[C].[C].[O].[O],61,0.3725897825481293,0,-0.07502,56.02,4,0,0,0,57.0,0,0,0
O1OO1,62,0.39969988354842356,0,0.4656,47.997,3,1,1,0,39.42,0,3,0
[C].[N].[O].[O].[O],63,0.35895366258614364,0,-0.7557100000000001,74.015,5,0,0,0,116.0,0,0,0
[C].[O].[O].[O].[O],64,0.37336706237639716,0,-0.39391000000000004,76.007,5,0,0,0,114.0,0,0,0
[C].[C].[C].[C].[C].[O].[O],65,0.4086310355452127,0,0.16884999999999994,92.05299999999998,7,0,0,0,57.0,0,0,0
NCO,66,0.34042630283769015,0,-1.1051000000000002,47.057,3,0,0,0,46.25,2,2,0
[C].[C].[C].[O].[O].[O],67,0.3917109579506221,0,-0.11252999999999999,84.03,6,0,0,0,85.5,0,0,0
[C].[C].[O].[O].[O].[O],68,0.3859891139462582,0,-0.31262,88.018,6,0,0,0,114.0,0,0,0
[C].[C].[O].[O].[O],69,0.3793394560368868,0,-0.19382,72.019,5,0,0,0,85.5,0,0,0
[O].[O].[O].[O].[O].[O],70,0.37044597257541545,0,-0.7128,95.994,6,0,0,0,171.0,0,0,0
[C].[C].[O].[O].[O],71,0.3793394560368868,0,-0.19382,72.019,5,0,0,0,85.5,0,0,0
[C].[C].[C].[C].[C].[C].[O].[O].[O].[O].[O].[O].[O].[O],72,0.4821678391604986,0,-0.4626600000000001,200.05799999999996,14,0,0,0,228.0,0,0,0
