epoch,total,diff,kl,bond,atom
1,576.479736,575.176147,0.008739,1.673908,2.270676
2,2516.337402,2515.026855,0.008957,1.652103,2.288410
3,648.298645,647.011658,0.005585,1.634472,2.246009
4,1349.162720,1347.857300,0.007528,1.611596,2.287064
5,721.432129,720.154724,0.004581,1.597018,2.234421
6,2532.248291,2530.955811,0.006034,1.572463,2.269338
7,599.910645,598.638367,0.003532,1.555247,2.232786
8,1326.573486,1325.285400,0.004040,1.532044,2.268996
9,468.361145,467.096741,0.002462,1.513751,2.225605
10,608.046509,606.789124,0.002785,1.489976,2.216147
1,576.479736,575.176147,0.008739,1.673908,2.270676
2,2516.337402,2515.026855,0.008957,1.652103,2.288410
3,648.298645,647.011658,0.005585,1.634472,2.246009
4,1349.162720,1347.857300,0.007528,1.611596,2.287064
5,721.432129,720.154724,0.004581,1.597018,2.234421
6,2532.248291,2530.955811,0.006034,1.572463,2.269338
7,599.910645,598.638367,0.003532,1.555247,2.232786
8,1326.573486,1325.285400,0.004040,1.532044,2.268996
9,468.361145,467.096741,0.002462,1.513751,2.225605
10,608.046509,606.789124,0.002785,1.489976,2.216147
1,576.479736,575.176147,0.008739,1.673908,2.270676
2,2516.337402,2515.026855,0.008957,1.652103,2.288410
3,648.298645,647.011658,0.005585,1.634472,2.246009
4,1349.162720,1347.857300,0.007528,1.611596,2.287064
5,721.432129,720.154724,0.004581,1.597018,2.234421
6,2532.248291,2530.955811,0.006034,1.572463,2.269338
7,599.910645,598.638367,0.003532,1.555247,2.232786
8,1326.573486,1325.285400,0.004040,1.532044,2.268996
9,468.361145,467.096741,0.002462,1.513751,2.225605
10,608.046509,606.789124,0.002785,1.489976,2.216147
1,576.479736,575.176147,0.008739,1.673908,2.270676
2,2516.337402,2515.026855,0.008957,1.652103,2.288410
3,648.298645,647.011658,0.005585,1.634472,2.246009
4,1349.162720,1347.857300,0.007528,1.611596,2.287064
5,721.432129,720.154724,0.004581,1.597018,2.234421
6,2532.248291,2530.955811,0.006034,1.572463,2.269338
7,599.910645,598.638367,0.003532,1.555247,2.232786
8,1326.573486,1325.285400,0.004040,1.532044,2.268996
9,468.361145,467.096741,0.002462,1.513751,2.225605
10,608.046509,606.789124,0.002785,1.489976,2.216147
1,576.479736,575.176147,0.008739,1.673908,2.270676
2,2516.337402,2515.026855,0.008957,1.652103,2.288410
3,648.298645,647.011658,0.005585,1.634472,2.246009
4,1349.162720,1347.857300,0.007528,1.611596,2.287064
5,721.432129,720.154724,0.004581,1.597018,2.234421
6,2532.248291,2530.955811,0.006034,1.572463,2.269338
7,599.910645,598.638367,0.003532,1.555247,2.232786
8,1326.573486,1325.285400,0.004040,1.532044,2.268996
9,468.361145,467.096741,0.002462,1.513751,2.225605
10,608.046509,606.789124,0.002785,1.489976,2.216147
